Exactly two selected jets:
------------------------------------------------------------------------------------
Initial	Scrap	HEHB	Trigger	PV	Muon	LMVeto	LEVeto	Jet	MT	bTag

19069	19069	0	1444	1442	1185	1184	1183	563	0	0
------------------------------------------------------------------------------------

RunNumber|	EventNumber|	LumiBlock|	ptLepton|	relIso|	ptjet1|	ptjet2|	MET|	MT|	btagjet1|	btagjet2
================================================================================================================================
1|	2807840|	6|	26.6473|	0.100064 (0, 1.19311, 1.47333) |	79.7423|	48.5794|	|	|	|	
1|	2807843|	6|	82.7322|	0.0124639 (0, 0.364847, 0.666321) |	95.0402|	65.1592|	|	|	|	
1|	2807861|	6|	42.4721|	0.0073817 (0, 0.313516, 0) |	32.4375|	32.1079|	|	|	|	
1|	2807882|	6|	126.83|	0.00377139 (0, 0.478327, 0) |	94.0399|	32.1608|	|	|	|	
1|	2807910|	6|	26.8292|	0.0126563 (0, 0.339558, 0) |	40.7901|	39.5442|	|	|	|	
1|	2807952|	6|	51.097|	0 (0, 0, 0) |	65.3066|	58.3268|	|	|	|	
1|	2808119|	6|	41.2946|	0.0368877 (0.523124, 1.00014, 0) |	86.8133|	61.9268|	|	|	|	
1|	2808133|	6|	57.876|	0.0150533 (0, 0.243057, 0.628165) |	57.1475|	52.8198|	|	|	|	
1|	2808197|	6|	50.8052|	0.0572585 (0, 1.28765, 1.62138) |	108.608|	38.4781|	|	|	|	
1|	2808215|	6|	48.3096|	0.0820892 (3.03884, 0, 0.92686) |	79.4606|	63.8243|	|	|	|	
1|	2808228|	6|	39.3956|	0.0467029 (0, 1.19301, 0.646878) |	75.6433|	56.757|	|	|	|	
1|	2808252|	6|	44.7825|	0.00722682 (0, 0.323635, 0) |	46.4559|	37.0794|	|	|	|	
1|	2808313|	6|	22.129|	0.0971035 (0.732191, 0.90784, 0.508766) |	82.0478|	77.3412|	|	|	|	
1|	2808322|	6|	129.877|	0 (0, 0, 0) |	206.345|	54.5428|	|	|	|	
1|	2808344|	6|	86.2951|	0.0290968 (0, 0.980668, 1.53024) |	67.8987|	44.5735|	|	|	|	
1|	2808350|	6|	47.8337|	0.0128622 (0, 0.615245, 0) |	78.2404|	54.0673|	|	|	|	
1|	2808379|	6|	38.5657|	0.0321423 (0, 0.529543, 0.710044) |	46.4101|	33.7855|	|	|	|	
1|	2808421|	6|	29.3835|	0 (0, 0, 0) |	55.2017|	35.459|	|	|	|	
1|	3445461|	7|	23.4614|	0 (0, 0, 0) |	90.853|	54.9761|	|	|	|	
1|	3445499|	7|	24.3345|	0.0215969 (0, 0, 0.525552) |	116.204|	45.3836|	|	|	|	
1|	3445520|	7|	31.3578|	0 (0, 0, 0) |	73.5764|	60.5532|	|	|	|	
1|	3445563|	7|	25.7831|	0.10104 (0, 0.795834, 1.80928) |	61.2528|	41.7237|	|	|	|	
1|	3445609|	7|	49.4811|	0 (0, 0, 0) |	102.225|	62.4625|	|	|	|	
1|	3445702|	7|	34.8197|	0.0366229 (1.2752, 0, 0) |	49.361|	45.9171|	|	|	|	
1|	3445770|	7|	60.2348|	0.0202239 (0.579217, 0.638966, 0) |	127.588|	69.4757|	|	|	|	
1|	3445820|	7|	25.593|	0.0722355 (1.84872, 0, 0) |	92.9586|	73.0923|	|	|	|	
