Exactly one tight muon:
------------------------------------------------------------------------------------
Initial	Scrap	HEHB	Trigger	PV	Muon	LMVeto	LEVeto	Jet	MT	bTag

19069	19069	0	1444	1442	1185	0	0	0	0	0
------------------------------------------------------------------------------------

RunNumber|	EventNumber|	LumiBlock|	ptLepton|	relIso|	ptjet1|	ptjet2|	MET|	MT|	btagjet1|	btagjet2
================================================================================================================================
1|	2807840|	6|	26.6473|	0.100064 (0, 1.19311, 1.47333) |	|	|				
1|	2807843|	6|	82.7322|	0.0124639 (0, 0.364847, 0.666321) |	|	|				
1|	2807854|	6|	39.2719|	0.058541 (0, 1.5798, 0.719215) |	|	|				
1|	2807861|	6|	42.4721|	0.0073817 (0, 0.313516, 0) |	|	|				
1|	2807862|	6|	81.0498|	0.00475099 (0, 0.385067, 0) |	|	|				
1|	2807877|	6|	84.9304|	0.0230115 (0, 1.95437, 0) |	|	|				
1|	2807882|	6|	126.83|	0.00377139 (0, 0.478327, 0) |	|	|				
1|	2807888|	6|	51.9015|	0.0477942 (0, 2.48059, 0) |	|	|				
1|	2807891|	6|	25.7188|	0.0661885 (0.759787, 0, 0.942503) |	|	|				
1|	2807910|	6|	26.8292|	0.0126563 (0, 0.339558, 0) |	|	|				
1|	2807933|	6|	22.5054|	0 (0, 0, 0) |	|	|				
1|	2807942|	6|	59.4554|	0.00774298 (0, 0.460362, 0) |	|	|				
1|	2807952|	6|	51.097|	0 (0, 0, 0) |	|	|				
1|	2807992|	6|	44.8944|	0.104466 (0.810093, 2.83681, 1.04306) |	|	|				
1|	2807995|	6|	29.0387|	0.0623361 (0.55992, 0.135222, 1.11501) |	|	|				
1|	2808051|	6|	34.708|	0.100355 (3.48313, 0, 0) |	|	|				
1|	2808060|	6|	51.7224|	0 (0, 0, 0) |	|	|				
1|	2808082|	6|	86.3802|	0.0383492 (2.12901, 1.1836, 0) |	|	|				
1|	2808119|	6|	41.2946|	0.0368877 (0.523124, 1.00014, 0) |	|	|				
1|	2808130|	6|	59.6105|	0.0175985 (0, 0.519364, 0.529689) |	|	|				
1|	2808133|	6|	57.876|	0.0150533 (0, 0.243057, 0.628165) |	|	|				
1|	2808197|	6|	50.8052|	0.0572585 (0, 1.28765, 1.62138) |	|	|				
1|	2808198|	6|	20.3952|	0 (0, 0, 0) |	|	|				
1|	2808215|	6|	48.3096|	0.0820892 (3.03884, 0, 0.92686) |	|	|				
1|	2808228|	6|	39.3956|	0.0467029 (0, 1.19301, 0.646878) |	|	|				
1|	2808252|	6|	44.7825|	0.00722682 (0, 0.323635, 0) |	|	|				
1|	2808258|	6|	44.9965|	0 (0, 0, 0) |	|	|				
1|	2808313|	6|	22.129|	0.0971035 (0.732191, 0.90784, 0.508766) |	|	|				
1|	2808322|	6|	129.877|	0 (0, 0, 0) |	|	|				
1|	2808344|	6|	86.2951|	0.0290968 (0, 0.980668, 1.53024) |	|	|				
1|	2808350|	6|	47.8337|	0.0128622 (0, 0.615245, 0) |	|	|				
1|	2808359|	6|	79.5126|	0.00880586 (0, 0.700177, 0) |	|	|				
1|	2808379|	6|	38.5657|	0.0321423 (0, 0.529543, 0.710044) |	|	|				
1|	2808396|	6|	47.6949|	0.0796835 (2.49114, 1.30936, 0) |	|	|				
1|	2808404|	6|	58.983|	0.021224 (0, 0.475525, 0.776332) |	|	|				
1|	2808421|	6|	29.3835|	0 (0, 0, 0) |	|	|				
1|	3445461|	7|	23.4614|	0 (0, 0, 0) |	|	|				
1|	3445499|	7|	24.3345|	0.0215969 (0, 0, 0.525552) |	|	|				
1|	3445506|	7|	86.6423|	0.0767021 (4.16406, 0.501655, 1.97994) |	|	|				
1|	3445520|	7|	31.3578|	0 (0, 0, 0) |	|	|				
