Exactly one tagged jet, d_{TCHP} > 3.41:
------------------------------------------------------------------------------------
Initial	Scrap	HEHB	Trigger	PV	Muon	LMVeto	LEVeto	Jet	MT	bTag

19069	19069	0	1444	1442	1185	1184	1183	563	441	183
------------------------------------------------------------------------------------

RunNumber|	EventNumber|	LumiBlock|	ptLepton|	relIso|	ptjet1|	ptjet2|	MET|	MT|	btagjet1|	btagjet2
================================================================================================================================
1|	2808119|	6|	41.2946|	0.0368877 (0.523124, 1.00014, 0) |	86.8133|	61.9268|	62.819|	101.271|	17.9969|	
1|	2808133|	6|	57.876|	0.0150533 (0, 0.243057, 0.628165) |	57.1475|	52.8198|	42.7321|	84.9301|	7.651|	
1|	2808228|	6|	39.3956|	0.0467029 (0, 1.19301, 0.646878) |	75.6433|	56.757|	50.9739|	76.5302|	11.3664|	
1|	2808252|	6|	44.7825|	0.00722682 (0, 0.323635, 0) |	46.4559|	37.0794|	16.4438|	54.2676|	4.00868|	
1|	2808322|	6|	129.877|	0 (0, 0, 0) |	206.345|	54.5428|	44.7615|	47.2323|	18.7769|	
1|	2808350|	6|	47.8337|	0.0128622 (0, 0.615245, 0) |	78.2404|	54.0673|	32.8917|	68.9322|	8.14606|	
1|	2808421|	6|	29.3835|	0 (0, 0, 0) |	55.2017|	35.459|	58.1221|	82.6367|	17.1562|	
1|	3445461|	7|	23.4614|	0 (0, 0, 0) |	90.853|	54.9761|	43.6002|	52.8108|	6.54197|	
1|	3445499|	7|	24.3345|	0.0215969 (0, 0, 0.525552) |	116.204|	45.3836|	105.052|	62.7315|	5.64478|	
1|	3445964|	7|	46.5551|	0.0395515 (0.793688, 1.04764, 0) |	39.384|	38.6167|	30.2248|	71.1912|	4.00057|	
1|	3446054|	7|	35.9235|	0.0361759 (0, 1.29956, 0) |	79.4708|	36.8101|	57.8592|	57.5111|	13.3715|	
1|	3446074|	7|	36.1837|	0.0636997 (0, 1.79172, 0.513176) |	185.234|	153.481|	56.1569|	58.8723|	21.3734|	
1|	3095798|	7|	74.0356|	0.0592237 (2.41444, 1.27076, 0.699458) |	48.9368|	46.6146|	38.5395|	94.7087|	4.60764|	
1|	3095825|	7|	38.2604|	0.0720638 (0, 2.75719, 0) |	70.9354|	70.8677|	34.6056|	70.4254|	19.1822|	
1|	3095839|	7|	90.508|	0 (0, 0, 0) |	163.209|	54.3359|	62.0287|	60.1384|	15.5592|	
1|	3096002|	7|	61.6589|	0.0836654 (0.820817, 1.97229, 2.36561) |	46.6084|	44.6245|	30.5134|	86.3847|	3.93393|	
1|	3096297|	7|	63.1213|	0.0564487 (0.760722, 1.42723, 1.37516) |	152.54|	144.097|	74.2098|	133.251|	4.6134|	
1|	3096374|	7|	57.0043|	0.0271538 (0, 1.54788, 0) |	78.2518|	60.7396|	46.6042|	54.0092|	4.04578|	
1|	3279731|	7|	24.9005|	0.0570743 (0, 1.42118, 0) |	140.777|	60.9715|	102.413|	88.1737|	5.18591|	
