 ==  = 
|    Run |             SelectedLS |     Recorded |           HLTpath |              L1bit |    Effective |
----------------------------------------------------------------------------------------------------------
| 160431 |               [19-218] |   6.658(/nb) | HLT_IsoMu17_v5(1) | "L1_SingleMu10"(1) |   6.658(/nb) |
| 160577 |              [254-306] |   1.625(/nb) | HLT_IsoMu17_v5(1) | "L1_SingleMu10"(1) |   1.625(/nb) |
| 160578 |      [6-53], [274-400] |   4.935(/nb) | HLT_IsoMu17_v5(1) | "L1_SingleMu10"(1) |   4.935(/nb) |
| 160871 |               [68-208] | 105.082(/nb) | HLT_IsoMu17_v5(1) | "L1_SingleMu10"(1) | 105.082(/nb) |
| 160872 |        [1-9], [25-35], |  23.707(/nb) | HLT_IsoMu17_v5(1) | "L1_SingleMu10"(1) |  23.707(/nb) |
|        |                [38-55] |              |                   |                    |              |
| 160873 |                [1-147] | 101.940(/nb) | HLT_IsoMu17_v5(1) | "L1_SingleMu10"(1) | 101.940(/nb) |
| 160874 |       [1-51], [97-113] |  42.157(/nb) | HLT_IsoMu17_v5(1) | "L1_SingleMu10"(1) |  42.157(/nb) |
| 160939 |                [1-123] | 150.097(/nb) | HLT_IsoMu17_v5(1) | "L1_SingleMu10"(1) | 150.097(/nb) |
| 160940 |                 [1-79] |  91.646(/nb) | HLT_IsoMu17_v5(1) | "L1_SingleMu10"(1) |  91.646(/nb) |
| 160942 |                 [1-12] |  12.244(/nb) | HLT_IsoMu17_v5(1) | "L1_SingleMu10"(1) |  12.244(/nb) |
| 160943 |                 [1-54] |  59.710(/nb) | HLT_IsoMu17_v5(1) | "L1_SingleMu10"(1) |  59.710(/nb) |
| 160955 |    [1-130], [133-138], | 416.350(/nb) | HLT_IsoMu17_v5(1) | "L1_SingleMu10"(1) | 416.350(/nb) |
|        |  [140-151], [153-154], |              |                   |                    |              |
|        |  [156-172], [175-201], |              |                   |                    |              |
|        |              [204-206] |              |                   |                    |              |
| 160956 |                 [2-65] | 199.579(/nb) | HLT_IsoMu17_v5(1) | "L1_SingleMu10"(1) | 199.579(/nb) |
| 160957 |       [1-45], [61-63], |   2.467(/pb) | HLT_IsoMu17_v5(1) | "L1_SingleMu10"(1) |   2.467(/pb) |
|        |               [65-953] |              |                   |                    |              |
| 160998 |     [2-201], [210-252] | 660.979(/nb) | HLT_IsoMu17_v5(1) | "L1_SingleMu10"(1) | 660.979(/nb) |
| 161008 |                 [2-77] | 193.844(/nb) | HLT_IsoMu17_v5(1) | "L1_SingleMu10"(1) | 193.844(/nb) |
| 161016 |                [2-300] | 673.241(/nb) | HLT_IsoMu17_v5(1) | "L1_SingleMu10"(1) | 673.241(/nb) |
| 161103 |                [2-100] | 382.579(/nb) | HLT_IsoMu17_v5(1) | "L1_SingleMu10"(1) | 382.579(/nb) |
| 161106 |                 [2-26] |  93.020(/nb) | HLT_IsoMu17_v5(1) | "L1_SingleMu10"(1) |  93.020(/nb) |
| 161107 |                 [2-29] | 101.561(/nb) | HLT_IsoMu17_v5(1) | "L1_SingleMu10"(1) | 101.561(/nb) |
| 161113 |                 [2-24] |  80.139(/nb) | HLT_IsoMu17_v5(1) | "L1_SingleMu10"(1) |  80.139(/nb) |
| 161116 |                 [2-11] |  34.627(/nb) | HLT_IsoMu17_v5(1) | "L1_SingleMu10"(1) |  34.627(/nb) |
| 161117 |                 [2-24] |  78.152(/nb) | HLT_IsoMu17_v5(1) | "L1_SingleMu10"(1) |  78.152(/nb) |
| 161119 |         [1-1], [7-58], | 524.416(/nb) | HLT_IsoMu17_v5(1) | "L1_SingleMu10"(1) | 524.416(/nb) |
|        |   [69-108], [115-141], |              |                   |                    |              |
|        |   [145-173], [179-209] |              |                   |                    |              |
| 161156 |                 [1-14] |  35.806(/nb) | HLT_IsoMu17_v5(1) | "L1_SingleMu10"(1) |  35.806(/nb) |
| 161176 |                 [1-31] |  84.642(/nb) | HLT_IsoMu17_v5(1) | "L1_SingleMu10"(1) |  84.642(/nb) |
| 161217 |               [37-753] |   3.510(/pb) | HLT_IsoMu17_v5(1) | "L1_SingleMu10"(1) |   3.510(/pb) |
| 161222 |                 [1-97] | 402.917(/nb) | HLT_IsoMu17_v5(1) | "L1_SingleMu10"(1) | 402.917(/nb) |
| 161223 |                [1-375] |   1.438(/pb) | HLT_IsoMu17_v5(1) | "L1_SingleMu10"(1) |   1.438(/pb) |
| 161233 |                [33-33] |   2.880(/nb) | HLT_IsoMu17_v5(1) | "L1_SingleMu10"(1) |   2.880(/nb) |
| 161310 |               [39-116] | 438.435(/nb) | HLT_IsoMu17_v5(1) | "L1_SingleMu10"(1) | 438.435(/nb) |
| 161311 |     [1-554], [559-649] |   3.114(/pb) | HLT_IsoMu17_v5(1) | "L1_SingleMu10"(1) |   3.114(/pb) |
| 161312 |    [1-624], [629-632], |   3.635(/pb) | HLT_IsoMu17_v5(1) | "L1_SingleMu10"(1) |   3.635(/pb) |
|        |  [637-826], [835-1027] |              |                   |                    |              |
| 162762 |                [1-102] | 378.605(/nb) | HLT_IsoMu17_v5(1) | "L1_SingleMu10"(1) | 378.605(/nb) |
| 162765 |                 [1-39] |  79.506(/nb) | HLT_IsoMu17_v5(1) | "L1_SingleMu10"(1) |  79.506(/nb) |
