bash-3.2$ python lumiCalc3.py -i prv4.json -hltpath HLT_IsoMu17_v* -norm pp7TeV -prescales "onlyUnprescaled" recorded
 ==  = 
|    Run |             SelectedLS |     Recorded |            HLTpath |              L1bit |    Effective |
-----------------------------------------------------------------------------------------------------------
| 165088 |              [107-266] |   4.033(/nb) |  HLT_IsoMu17_v8(1) | "L1_SingleMu10"(1) |   4.033(/nb) |
| 165098 |  [124-187], [190-193], |  27.508(/nb) |  HLT_IsoMu17_v8(1) | "L1_SingleMu10"(1) |  27.508(/nb) |
|        |  [195-248], [250-254], |              |                    |                    |              |
|        |  [256-331], [333-367], |              |                    |                    |              |
|        |              [369-415] |              |                    |                    |              |
| 165099 |                [1-105] |   8.857(/nb) |  HLT_IsoMu17_v8(1) | "L1_SingleMu10"(1) |   8.857(/nb) |
| 165102 |                [1-185] |  16.477(/nb) |  HLT_IsoMu17_v8(1) | "L1_SingleMu10"(1) |  16.477(/nb) |
| 165103 |                [1-107] |  10.035(/nb) |  HLT_IsoMu17_v8(1) | "L1_SingleMu10"(1) |  10.035(/nb) |
| 165120 |                [82-97] |  76.749(/nb) |  HLT_IsoMu17_v8(1) | "L1_SingleMu10"(1) |  76.749(/nb) |
| 165121 |                [1-466] |   2.058(/pb) |  HLT_IsoMu17_v8(1) | "L1_SingleMu10"(1) |   2.058(/pb) |
| 165205 |               [80-248] |   1.729(/pb) |  HLT_IsoMu17_v8(1) | "L1_SingleMu10"(1) |   1.729(/pb) |
| 165208 |                [1-101] | 952.345(/nb) |  HLT_IsoMu17_v8(1) | "L1_SingleMu10"(1) | 952.345(/nb) |
| 165364 |   [45-111], [114-147], |  18.418(/pb) |  HLT_IsoMu17_v8(1) | "L1_SingleMu10"(1) |  18.418(/pb) |
|        | [160-807], [809-1220], |              |                    |                    |              |
|        |            [1260-1301] |              |                    |                    |              |
| 165402 |                 [1-28] | 418.640(/nb) |  HLT_IsoMu17_v8(1) | "L1_SingleMu10"(1) | 418.640(/nb) |
| 165415 |     [58-85], [88-640], |  19.554(/pb) |  HLT_IsoMu17_v8(1) | "L1_SingleMu10"(1) |  19.554(/pb) |
|        |  [643-707], [712-777], |              |                    |                    |              |
|        |            [780-1356], |              |                    |                    |              |
|        |            [1360-1383] |              |                    |                    |              |
| 165467 |               [39-708] |  11.824(/pb) |  HLT_IsoMu17_v8(1) | "L1_SingleMu10"(1) |  11.824(/pb) |
| 165472 |     [1-184], [186-882] |  13.012(/pb) |  HLT_IsoMu17_v8(1) | "L1_SingleMu10"(1) |  13.012(/pb) |
| 165486 |               [37-102] |   1.411(/pb) |  HLT_IsoMu17_v8(1) | "L1_SingleMu10"(1) |   1.411(/pb) |
| 165487 |                [1-150] |   2.969(/pb) |  HLT_IsoMu17_v8(1) | "L1_SingleMu10"(1) |   2.969(/pb) |
| 165506 |               [54-169] |   1.923(/pb) |  HLT_IsoMu17_v8(1) | "L1_SingleMu10"(1) |   1.923(/pb) |
| 165514 |   [72-244], [246-270], |  10.803(/pb) |  HLT_IsoMu17_v8(1) | "L1_SingleMu10"(1) |  10.803(/pb) |
|        |   [283-560], [562-566] |              |                    |                    |              |
| 165548 |    [1-363], [365-381], |   8.717(/pb) |  HLT_IsoMu17_v8(1) | "L1_SingleMu10"(1) |   8.717(/pb) |
|        |              [384-589] |              |                    |                    |              |
